filters,layers,units,features,loss,accuracy,time
2,3,250,25,0.2811916172504425,0.9368430972099304,241.20081901550293
2,3,250,30,0.17316114902496338,0.9606794118881226,259.8722679615021
2,3,250,35,0.2468482106924057,0.9496996998786926,294.19919991493225
2,3,300,25,0.16762268543243408,0.9703453183174133,228.88809871673584
2,3,300,30,0.2595643401145935,0.9428490996360779,222.2929549217224
2,3,300,35,0.14870858192443848,0.9683746099472046,294.94740200042725
2,3,350,25,0.17816384136676788,0.9595533013343811,277.59356808662415
2,3,350,30,0.37423181533813477,0.9225788116455078,251.54074597358704
2,3,350,35,0.16959932446479797,0.9596471190452576,256.16794538497925
2,4,250,25,0.30859068036079407,0.9341216087341309,192.40247011184692
2,4,250,30,0.16616998612880707,0.9667792916297913,222.7223560810089
2,4,250,35,0.23033283650875092,0.9474474191665649,283.4554817676544
2,4,300,25,0.22509334981441498,0.9552364945411682,190.6721761226654
2,4,300,30,0.21301768720149994,0.9562687873840332,220.16454076766968
2,4,300,35,0.1121153011918068,0.9727852940559387,260.3362979888916
2,4,350,25,0.2691122889518738,0.9481981992721558,167.8143229484558
2,4,350,30,0.2259395271539688,0.9454767107963562,208.53541803359985
2,4,350,35,0.19423437118530273,0.9573010802268982,243.89659690856934
2,5,250,25,0.19143953919410706,0.9547672867774963,182.1242151260376
2,5,250,30,0.13693073391914368,0.9675300121307373,224.72456884384155
2,5,250,35,0.20040515065193176,0.9559872150421143,281.86143827438354
2,5,300,25,0.18671032786369324,0.9624624848365784,357.2467141151428
2,5,300,30,0.15885326266288757,0.9678115844726562,248.90011286735535
2,5,300,35,0.13770946860313416,0.9686561822891235,351.76604294776917
2,5,350,25,0.190673828125,0.961054801940918,360.955689907074
2,5,350,30,0.14808115363121033,0.9679992198944092,373.49715781211853
2,5,350,35,0.1843978613615036,0.9542042016983032,376.72682523727417
2,6,250,35,0.26018786430358887,0.9432244896888733,417.90679693222046
2,6,250,40,0.1846717745065689,0.9617117047309875,370.482449054718
